id,po,so,name,item,itemdesc,qty,lineup,converting,fg,delivery,shipqty,date,deliverydate,comment,c,p,o,f,shipstatus,prodqty,pendingqty,orderstatus,creasingtime,printingtime,dcrtime,finishrtime,lineuptime,converttime,fgtime,lastedited,deliverytime
534,BMPC-22-020,10,Philpack Comm'l Ent. Inc.,60x64.50 175lbs. B-Flute (1524),1524,500,f,f,f,f,,2022-01-24,,,f,f,f,f,,,,Planner,,,,,,,,,
535,BMPC-22-079,117,Boxmates Packaging Corporation,60x64.50 175lbs. B-Flute (1524),1524,500,f,f,f,f,,2022-03-21,,,f,f,f,f,,,,Planner,,,,,,,,,
536,BMPC-22-020,10,Philpack Comm'l Ent. Inc.,60x74 NT C-Flute (1524),1524,500,f,f,f,f,,2022-01-24,,,f,f,f,f,,,,Planner,,,,,,,,,
537,BMPC-22-150,517,Boxmates Packaging Corporation,61x49 300lbs CB Flute (1549),1549,1010,f,f,f,f,,2022-05-24,,,f,f,f,f,,,,Planner,,,,,,,,,
538,BMPC-22-200,716,Boxmates Packaging Corporation,61x50 175lbs C Flute (1549(140-125-140)),1549(140-125-140),1000,f,f,f,f,,2022-07-01,,,f,f,f,f,,,,Planner,,,,,,,,,
539,"",103,Boxmates Packaging Corporation,61x54 125lbs B-Flute (1549),1549,600,f,f,f,f,,2022-03-16,,,f,f,f,f,,,,Planner,,,,,,,,,
540,"",50,Boxmates Packaging Corporation,61x54.50 175lbs C-Flute (1549),1549,800,f,f,f,f,,2022-02-15,,,f,f,f,f,,,,Planner,,,,,,,,,
541,BMPC-22-079,117,Boxmates Packaging Corporation,61x54.50 175lbs C-Flute (1549),1549,600,f,f,f,f,,2022-03-21,,,f,f,f,f,,,,Planner,,,,,,,,,
542,"",74,Boxmates Packaging Corporation,61x61 350lbs BC-Flute (1549),1549,500,f,f,f,f,,2022-03-02,,,f,f,f,f,,,,Planner,,,,,,,,,
543,BMPC-22-086,144,Boxmates Packaging Corporation,61x61 350lbs BC-Flute (1549),1549,500,f,f,f,f,,2022-03-31,,,f,f,f,f,,,,Planner,,,,,,,,,
544,BMPC-22-117,329,Boxmates Packaging Corporation,61x64.50 175lbs B Flute (140-125-140),140-125-140,500,f,f,f,f,,2022-04-30,,,f,f,f,f,,,,Planner,,,,,,,,,
545,"",74,Boxmates Packaging Corporation,61x66 350lbs BC-Flute (1549),1549,500,f,f,f,f,,2022-03-02,,,f,f,f,f,,,,Planner,,,,,,,,,
546,BMPC-22-159,563,Boxmates Packaging Corporation,61x70 175lbs B Flute (1524),1524,1500,f,f,f,f,,2022-05-30,,,f,f,f,f,,,,Planner,,,,,,,,,
547,"",81,Boxmates Packaging Corporation,61x70 NT C-Flute (1549),1549,600,f,f,f,f,,2022-03-04,,,f,f,f,f,,,,Planner,,,,,,,,,
548,BMPC-22-138,447,Boxmates Packaging Corporation,61x70.50 175lbs  C Flute (1549),1549,1000,f,f,f,f,,2022-05-16,,,f,f,f,f,,,,Planner,,,,,,,,,
